trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1219,False,"{'a': 0.001, 'e': 0.295525544755239}",20,5,-38.89645251691655,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
1220,False,"{'a': 0.001, 'e': 0.2952301669240142}",30,0,-7.283437884832239,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
1221,False,"{'a': 0.001, 'e': 0.2949350843229809}",30,8,3.766089964603898,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
1222,False,"{'a': 0.001, 'e': 0.29464029665705654}",25,0,9.190802415252618,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
1223,False,"{'a': 0.001, 'e': 0.29434580363145335}",30,10,6.78542939190077,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
1224,False,"{'a': 0.001, 'e': 0.29405160495167837}",25,11,-41.81749656112892,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
1225,False,"{'a': 0.001, 'e': 0.29375770032353277}",20,12,11.57866583133403,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1226,False,"{'a': 0.001, 'e': 0.2934640894531121}",25,16,14.221771580333732,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1227,False,"{'a': 0.001, 'e': 0.2931707720468052}",20,8,16.181426061477048,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1228,False,"{'a': 0.001, 'e': 0.2928777478112949}",20,13,11.781275598246367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1229,False,"{'a': 0.001, 'e': 0.29258501645355667}",25,13,16.898631628827783,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1230,False,"{'a': 0.001, 'e': 0.2922925776808594}",25,0,-28.502713714117792,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
1231,False,"{'a': 0.001, 'e': 0.2920004312007641}",25,19,5.108056235280726,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1232,False,"{'a': 0.001, 'e': 0.2917085767211244}",25,9,-3.9382863625249813,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
1233,False,"{'a': 0.001, 'e': 0.2914170139500857}",30,16,17.643217248924497,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1234,False,"{'a': 0.001, 'e': 0.2911257425960852}",20,13,6.434734799843391,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1235,False,"{'a': 0.001, 'e': 0.29083476236785155}",30,11,16.904616081082366,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
1236,False,"{'a': 0.001, 'e': 0.2905440729744046}",20,0,3.090140903128267,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1237,False,"{'a': 0.001, 'e': 0.2902536741250547}",20,6,14.07770595663584,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1238,False,"{'a': 0.001, 'e': 0.2899635655294032}",20,0,23.8678611740837,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1239,False,"{'a': 0.001, 'e': 0.2896737468973414}",20,0,-42.37116630763003,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
1240,False,"{'a': 0.001, 'e': 0.2893842179390506}",25,0,-76.15057410359448,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
1241,False,"{'a': 0.001, 'e': 0.28909497836500186}",20,0,-11.266820504384544,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
