trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",30,0,-65.06974533137563,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",20,0,-80.08732293403128,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",1
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",20,0,-48.28031058532717,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",20,0,-54.51331799056076,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",25,0,-102.16087829656782,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",30,0,-73.36137621094346,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",30,1,-28.801087428598436,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 1}",1
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",20,0,-41.18360969287473,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.950278670532427, 'e': 0.600495578812266}",20,0,-97.96859513024467,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",20,9,2.8191187212505584,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",20,0,-56.22245046706937,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",30,1,-116.53395265750636,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 3}",1
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",25,0,-65.44765893874278,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",30,0,-34.634218698511056,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",35,0,-129.18955515875692,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",20,16,8.05515816139777,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",20,11,10.061406101223481,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",20,5,5.156926154219882,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",25,7,-56.46044138264085,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",30,18,-158.4440217331104,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 4}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",25,0,-80.11118058533873,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",30,6,9.2755819977473,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,0,25.87038123836991,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",20,0,8.749434404177089,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",25,0,-32.14850037125407,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",20,7,-75.39165580876522,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",20,6,-17.910592335714902,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",20,0,-26.552769278341803,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",20,0,-105.04696256475235,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",20,15,-1.144709284114753,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",30,13,-34.13296262337738,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",20,10,-16.513418493745295,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",30,2,-20.432758136554654,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 0}",1
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",20,0,-49.735749200736535,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",20,2,-3.0037792798293523,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",20,14,11.623549345116924,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.9240399244450868, 'e': 0.45384479528235583}",20,13,-63.186671731565,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",30,0,-67.2031394282361,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",20,12,-1.2961427674650343,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",20,0,-32.783676015696805,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",25,0,-1.9955964521935994,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",20,3,3.0091795411114264,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",20,0,3.6688460704885735,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",30,13,-82.49633222947186,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
